term,meaning,why_important
train_loss / train_error,общая ошибка на обучающей выборке,"показывает, насколько модель подстроилась под train-данные"
validation_error / val_loss,ошибка на validation выборке,главный показатель для выбора лучшей модели и контроля переобучения
train_bce / val_bce,попиксельная бинарная ошибка,показывает качество классификации каждого пикселя как дефект или фон
train_dice_loss / val_dice_loss,ошибка совпадения формы маски,"показывает, насколько хорошо модель восстанавливает саму область дефекта"
learning_rate,скорость изменения весов модели,уменьшается при ухудшении validation error и стабилизирует обучение
best_epoch,эпоха с минимальной validation error,"именно эта версия модели считается лучшей, а не последняя эпоха"
Dice,степень совпадения предсказанной и истинной маски,"основная метрика сегментации, чем ближе к 1, тем лучше"
IoU,отношение пересечения к объединению масок,более строгая метрика качества сегментации
threshold,порог перевода вероятностей в бинарную маску,"это постобработка, а не доказательство качества обучения"
pos_weight,вес положительного класса в BCE,компенсирует дисбаланс между маленькой областью дефекта и большим фоном
